,image_name,caption
0,QmQ3a3b5dDb9dgBE3iuxnMFj5euzZ8ThcTY511DrzycWVA.jpeg,<start> a close up of a cake with a candle on it <end>
1,QmUXd5PjapgbrzeBUw8SxXBFdQ5GsYfguRg49QLxiRd5tb.jpeg,<start> a table with a vase of flowers on it . <end>
2,QmYYiyW4om4DrnH7bNJHim4nNgCJdZSMzjSZ6VSfKDgZFV.jpg,<start> a small white teddy bear sitting on a table . <end>
3,QmVSxfkASUZwXEUBQekyCmmLnoagG3Luw1MM1hy2Wxuh2u.jpeg,<start> a man wearing a hat and a tie . <end>
4,QmbJXNtHKbizRxxkS8kEnPtieRnG4gAJB6GKcH6wvUUbUn.jpg,<start> a colorful umbrella is sitting on a table . <end>
5,QmfKSZd9toqnL4VUVMC5bAiRf2Bi7tvL3EPDrXjmPj3uge.jpeg,<start> a bunch of different types of fruit on a table . <end>
6,QmVN4cSgk2fhwZztwmNKvbVJS53nFfyXYQtS4oj5kj6oaq.PNG,<start> a bunch of stuffed animals hanging from a wall . <end>
7,QmQD2WnynZXBVKGenBkabHLAjCwN7WfRyuGwXxhWfMBfYa.png,<start> a group of people on a ski slope with a snowboard . <end>
8,QmNjqQTCLVfUUWn25ghxZQ6s3ymEi7tSgX3guxHKojyMSq.jpg,<start> a close up of a cake with a candle on it . <end>
9,QmeTWw7FmtNXhqyraWBTP9BCBhvWjeM4RF3hJsEqdjtLL8.png,<start> a group of stuffed animals on a table . <end>
10,QmVaG7Q5vd2HbJeRw22WVygQkzQ1sfihpoyEuZ4hygjHZY.png,<start> a close up of a pair of scissors on a table <end>
11,QmdAgqqWJXPtDrUtiSHq18hBFz87pQP7ZDUDSVs8aCD2Kq.png,<start> a person is sitting in front of a cake . <end>
12,Qmb8z12AJm8kXDp6yc6qATgLpBT3tqqavoWmrRTVRAqAuW.jpg,<start> a close up of a plate with a fork and a fork . <end>
13,QmdQEMsQ9TYknRLVnLfZQ7DetG3GbW3umzLwVrTdcbPSLJ.jpeg,<start> a group of birds swimming in a body of water <end>
14,QmZ4MtXVg5JZWQktdi7ahSzY3mVviwo5VxQ824bj7YHNki.jpg,<start> a man with a hat and a hat on a bed . <end>
15,QmdDSMNcWcVARh9VoWZRoX4qmMUkprXYMVLtdVrqS946nD.png,<start> a black and white photo of a black and white photo <end>
16,QmQv9VGcy1K3AakfyzG74VyMyHzdsAnBdnX9Lyw3hU3U4K.jpeg,<start> a man with a hat and a hat on a train . <end>
17,QmP6axS2Az1DM3Tqtoqkw27UQ3wC8ZYrFU86ZZvStyRbmW.jpg,<start> a person wearing a red shirt and a tie . <end>
18,QmYDHQK1Jiyr9HMmeyamMqJttCQud675tYKrA7GrCZvcDK.png,<start> a person is holding a stuffed animal in a room . <end>
19,Qmbo3xBCAUsg5B54nVia27BvgPuKkfu9ufW6rA2K9kL5Cu.jpeg,<start> a bunch of different types of different types of food . <end>
20,QmXX33J4FrYTqz56F5Ng1MP6H15cN8g4LTG57N1qvDNWKn.png,<start> a close up of a cake with a candle on it <end>
21,Qmd4agxX2syDRXDJkJ8fFrqCGGdixiZxnftgiCAd3yR7bm.jpeg,<start> a small teddy bear wearing a red bow tie . <end>
22,QmQZdtirdvWkywXohbxLhVrjGXCeCYDT9xnWdymB13wiX8.PNG,<start> a clock is on a table with a clock on it . <end>
23,QmcrKQSPGCSKhSiCN7cHQbAzo7RYzP2AHtqDrVWPgjPcba.jpg,<start> a person holding a piece of cake on a table . <end>
24,QmTSnuYQBa7TCwRMiku6YEWvcGRwdJHnxNdeHFVAmNB48c.jpg,<start> a close up of a very large glass of wine <end>
25,QmRMHWsY536sBj3piLN8qndyb7Xae62goktDrXBMuXb1nZ.jpeg,<start> a cake with a candle on top of it . <end>
26,QmSkbZxxCe7gXmXKr1PZjmb7myBEDSDkHBjEE6mCADkvBM.png,<start> a man is standing in front of a mirror . <end>
27,QmNSwBB8jnFBkgHqEXRyxmzjPuV7r5ZyuX1HiPuPRz6Y1h.jpg,<start> a close up of a pair of scissors on a table <end>
28,QmUwmjbDPKFbt5a2Fguwe2adgs4jjihGe5ZscK9bVQ823o.jpeg,<start> a black and white photo of a cake on a table . <end>
29,QmcC8YKmDcD5AP5MWvvcPReTsAbpPJ3uKzyJNEgPFn3CZu.jpeg,<start> a person wearing a red shirt and a tie . <end>
30,QmfZVw2spVPHhaHnxrdr4W4GeQkHfdGV5z2ndNKwVVuhYa.jpeg,<start> a close up of a person holding a teddy bear <end>
31,QmNaeGaY9wBpHGEg5hTjdoVeqzZAqmpBJhREUbuDD7Creo.jpg,<start> a bunch of different types of scissors in a box . <end>
32,QmWPeYhWjF6SwQuKmsiYuzwJ3gb8oexRTxYXeLtbaAtExM.png,<start> a man is holding a cake with a candle . <end>
33,QmTPE4k4sc3MLCPazuHs3JenuJwJ4wuUD1Uwvk12FW3GiL.png,<start> a close up of a piece of cake on a table . <end>
34,QmbNbkFghVXEsrsccFYfrKHbK8QniYNhZQhNVYzfevR2ym.jpeg,<start> a wooden table with a bunch of stuffed animals . <end>
35,QmZqYLaEtqeCdAbSjJiMPDGoirxGmb6hEoXxmSWHTApRUC.png,<start> a bunch of different types of different types of scissors . <end>
36,QmT2Ls27iZNSGCsroKeaxmkQH9nEt5BUwPumbRi81BXTkh.jpg,<start> a black and white dog with a black beak . <end>
37,QmYn7phwQPfvYwoLjLbWd2faCoReKoPhk6deg7PYFfVont.jpeg,<start> a small white dog laying on a piece of cake . <end>
38,QmSd4Y4tpEEUyGBSQZpmag4RHpqGsK8RVJB5RJ6BByUZ8U.jpg,<start> a close up of a plate of food with a fork . <end>
39,QmSq6v8DZnaVKtHLWJC3R5hSN5Prch4ezYSH6y6Hs3QiM5.png,<start> a person holding a colorful umbrella in front of a blue sky . <end>
40,QmQFrPLL7SzV8Sf3ifqnn5JBZ6JJmUe1aSrfZHNk3D4jWK.jpeg,<start> a red and white vase with a red and white clock . <end>
41,QmSSakmnwMbgQEAP9ENN5junkUKiQ5RYQN127wujCLLouE.jpg,<start> a pair of scissors and a pair of scissors . <end>
42,QmPE99pT2cEs2HfQ84bzeuUBuJtY3KioabYdM7G7Sa37uS.png,<start> a large white vase with a bunch of different types of flowers . <end>
43,Qma7NTAL8tCfcMXA7Sgt44rWhV7spmiTfcNxDjbPhqnRdM.png,<start> a close up of a cake with a candle on it <end>
44,QmWRkoaQve8kEHZkdzdJEdw327EgJwDHC5pCb3tZicHtFP.jpg,<start> a black and white photo of a black and white photo <end>
45,QmcQnTVcM5W2ekXFV4y4FVUUCX3N4SeaABLkRgxCtUCM7i.png,<start> a person is holding a cake with a candle . <end>
46,QmcarjNdue552tfE6JhkDz3daCvKE672sPR8145rgHcTrV.jpeg,<start> a man wearing a suit and tie with a teddy bear . <end>
47,QmcqAt11XQdvS3pQWd51TF9osUCGrV3zTqgfQnUj81n1BB.jpg,<start> a bunch of colorful umbrellas are sitting on a table . <end>
48,Qmer9t9m8zZmBWbZ45R2NQakXW7xZ2s9ZHiQ753AB1U47B.png,<start> a black and white bird is sitting on a table . <end>
49,QmR5mok1MyQZnoADAjELJKq5FonBwCyBR3K9gBVMXbVyZa.png,<start> a close up of a bunch of different types of bananas . <end>
50,QmceC4WsMjEFod2qnnfojcBnQTgnX2iDWW7QpQq1eY9gYW.png,<start> a black and white photo of a black and white photo of a black and white photo . <end>
51,QmVcKEWKMYFCfPKeEmDeXytpX5mr1qpytMADdd4e34rsde.jpeg,<start> a woman is holding a pink umbrella in her hand . <end>
52,QmYbtaLuGtePg3LdDdPFk8Rx5TNvv6DEXpiowPu2ohKu4D.png,<start> a man is holding a piece of cake on a table . <end>
53,QmQWxUeosDw5DqBc2yS9sVTauD6B9vwNw97hP2UxBMukBz.png,<start> a close up of a clock on a wall <end>
54,QmZ8Cdqq5EFGeQazAG2RdLi3GxZ1vSZbfR9eKmjq6jP7dC.png,<start> a woman is holding a cake with a candle on it . <end>
55,QmYaFDumE2YPBW3YddvMyfmcr8Jv3rxf6ZMrfxwR5b4Ny5.png,<start> a person walking on a beach with a umbrella . <end>
56,QmeX62hjrQnrSmv99VXuoGdginHARX6hmodmE7FHUs9ZmR.jpeg,<start> a person holding a piece of cake on a table . <end>
57,QmY3teJkXkUVuedbXWGr8avpufGNoKa4v2vqDopiheVD5d.jpeg,<start> a man holding a banana in his mouth . <end>
58,QmQ6gqaWQLupSYT9BufLFW9yp1vSU8McBE4gTXXKpkj8Qk.jpeg,<start> a man wearing a hat and a tie . <end>
59,QmWpnm2FJMvvngtsZyLF9sGTtD44onYCcfBvYQ3wjcqWNQ.jpeg,<start> a woman is sitting in front of a cake . <end>
60,QmTd9kG82HZHh4b8bJ2g9bFYZShn9oZ1x7xBDCjiTyJwJQ.jpeg,<start> a man wearing a hat and a tie . <end>
61,QmY3kzi4AKZ8YhJikJTTra54CSasLnMa8q8GbrNqSpGUrK.jpg,<start> a woman is holding a pink umbrella in front of a window . <end>
62,QmWsTjtofKEdBBuSQwRxQJCipQL2RCV9buv7oScCxywVy7.jpeg,<start> a bunch of different types of scissors in a store . <end>
63,QmTDrPBbC11MT7PVLWBjcodGV37XDiTmgmPZAdz9AxTs9X.jpeg,<start> a small orange and white cat sitting on a table . <end>
64,QmeLDEcWwxpEFzghsyMVAPhYvbgHFtYfbhCq4eyaaiu1ZJ.png,<start> a red stop sign sitting on a pole next to a tree . <end>
65,QmeRSLqiZzeWL8XVrBVZRkqMQjdMPUMadAA9r1YKfEoXGy.jpg,<start> a close up of a person holding a baseball bat <end>
66,QmVcsnpHb97CeztGhe1zhnjoesVLyNGTXV4oehraiZ1Xki.png,<start> a red umbrella is sitting on a wooden bench . <end>
67,QmSqKLotBdwDPEaR1tHkF1xYJByjogebs66BZk1sMaaHep.jpg,<start> a man wearing a suit and tie with a tie . <end>
68,QmcC1tzxu6TyX3YoVwHd55sCGkrjzNDnaRJfZt1d6e24pV.jpeg,<start> a person wearing a hat and a tie . <end>
69,QmdBDnUhLcRMKpm8Rp7Sep5VYdfsG1yN8KKnFTD6BrVVRJ.jpeg,<start> a woman wearing a red shirt and a red tie . <end>
70,QmW56iSFdfS2a6NNCVmsuLbiaBqvDjmvNunjHbKqUaZuN8.png,<start> a teddy bear with a bow tie on a red and white striped striped chair . <end>
71,QmR1nz6aY4h3fqLswxAs88dz59YdQrgDAjMZQDFwZJ4tzR.jpeg,<start> a group of people standing around a table with a cake . <end>
72,QmUcFXz2NHkakFc6qhGM7WXu5mJf1uSM5vZJaqpLisYxUE.jpeg,<start> a person holding a banana in a bowl . <end>
73,QmbhficXqS3857gzmLEqozznAcSsN3UBc4asmsDpsUMDac.png,<start> a brown and white dog with a frisbee in its mouth . <end>
74,QmUSSNw558L7HCPEAui4PnxF565uFkBBCKjRcQEF2K2UL9.png,<start> a person holding a cell phone in front of a television . <end>
75,QmZnRdRJc8op7EyQWmDhVDYoDjQ12iwM8NoTumnkJMBzGK.png,<start> a picture of a man holding a cell phone . <end>
76,QmbttNSpioj8fEMuMpWGtout7njQ8fqddXEoXDaWM544gU.jpeg,<start> a person wearing a red bow tie and a red tie . <end>
77,QmRMjwAXnuPWzXoWaj7r97w6uuFWBkAbFoMB2gM3Bwo1ub.jpg,<start> a close up of a person holding a cell phone <end>
78,QmUsn2on8mD7oY95hJJWEvdRAN9ZfwVJShcvDDJMnRiACY.jpg,<start> a person wearing a hat and a tie . <end>
79,QmcCApW7BTAtDrhJXRz58ZneBWLHueqPyWCKAfRE84F1Ng.png,<start> a black and white photo of a black and white photo . <end>
